WORD                  TEXT  LINE  OLEN  WLEN  XPOS  WNUM  FDUR  OBLP  WDLP  FXNO    TXFR                                            
undernourished           3     2    14    14    58   169   175    14    14   127       1
and                    -99     0     0     0     0   170     0     0     0     0       0
only                     3     2     4     4    65   171   152     2     2   128      97
a                      -99     0     0     0     0   172     0     0     0     0       0
third                    3     2     5     5    72   173   113     2     2   129       7
of                     -99     0     0     0     0   174     0     0     0     0       0
the                    -99     0     0     0     0   175     0     0     0     0       0
adults                 -99     0     0     0     0   176     0     0     0     0       0
can                      3     3     3     3    14   177   146     3     3   130     123
read                   -99     0     0     0     0   178     0     0     0     0       0
and                      3     3     3     3    22   179   174     2     2   131    1283
write.                   3     3     6     5    28   180   191     4     4   132      10
It                     -99     0     0     0     0   181     0     0     0     0       0
is,                      3     3     3     2    35   182   117     1     1   133     717
is,                      3     3     3     2    35   182   206     1     1   145     717
in                       3     3     2     2    40   183   385     2     2   144    1091
that                     3     3     4     4    42   184   141     1     1   140     871
that                     3     3     4     4    44   184   177     3     3   141     871
unpleasant               3     3    10    10    47   185   177     1     1   134       4
unpleasant               3     3    10    10    55   185   204     9     9   135       4
unpleasant               3     3    10    10    53   185    54     7     7   136       4
unpleasant               3     3    10    10    49   185   175     3     3   139       4
unpleasant               3     3    10    10    50   185   267     4     4   142       4
unpleasant               3     3    10    10    48   185   106     2     2   143       4
unpleasant               3     3    10    10    46   185   151     0     0   146       4
unpleasant               3     3    10    10    49   185   235     3     3   147       4
unpleasant               3     3    10    10    52   185   112     6     6   148       4
expression               3     3    10    10    59   186   192     2     2   137       2
expression               3     3    10    10    58   186   194     1     1   149       2
expression               3     3    10    10    65   186   204     8     8   150       2
so                       3     3     2     2    68   187   145     0     0   138     154
so                       3     3     2     2    70   187   172     2     2   151     154
often                  -99     0     0     0     0   188     0     0     0     0       0
used                   -99     0     0     0     0   189     0     0     0     0       0
nowadays,                3     4     9     8    10   190   196     5     5   152       3
a                      -99     0     0     0     0   191     0     0     0     0       0
'failed                  3     4     7     6    22   192   273     5     4   153       5
state'.                  3     4     7     5    27   193    97     2     2   154      36
If                     -99     0     0     0     0   194     0     0     0     0       0
it                       3     4     2     2    38   195   339     2     2   158     544
can                      3     4     3     3    40   196   134     1     1   156     123
can                      3     4     3     3    42   196   124     3     3   159     123
come                     3     4     4     4    43   197   184     0     0   157      37
right,                   3     4     6     5    48   198   150     0     0   160      38
right,                   3     4     6     5    50   198   114     2     2   161      38
that                     3     4     4     4    59   199   176     4     4   162     871
would                    3     4     5     5    64   200    96     4     4   163     146
be                     -99     0     0     0     0   201     0     0     0     0       0
a                      -99     0     0     0     0   202     0     0     0     0       0
wonderful                3     4     9     9    72   203   196     1     1   164       4
demonstration            3     5    13    13     7   204   157     7     7   165       1
to                     -99     0     0     0     0   205     0     0     0     0       0
the                    -99     0     0     0     0   206     0     0     0     0       0
rest                     3     5     4     4    21   207   173     0     0   166      14
rest                     3     5     4     4    25   207   167     4     4   167      14
of                     -99     0     0     0     0   208     0     0     0     0       0
the                    -99     0     0     0     0   209     0     0     0     0       0
world                    3     5     5     5    35   210   177     2     2   168      60
that                   -99     0     0     0     0   211     0     0     0     0       0
out                      3     5     3     3    44   212   173     0     0   169     113
of                       3     5     2     2    50   213   181     2     2   170    1757
catastrophe              3     5    11    11    57   214   182     6     6   171       1
can                    -99     0     0     0     0   215     0     0     0     0       0
come,                    3     5     5     4    67   216   230     0     0   172      37
if                       3     5     2     2    75   217   465     2     2   173     150
if                       3     5     2     2    75   217    67     2     2   174     150
not                    -99     0     0     0     0   218     0     0     0     0       0
triumph,                 4     1     8     7     1   219   165     1     1   175       2
triumph,                 4     1     8     7     4   219   115     4     4   176       2
at                     -99     0     0     0     0   220     0     0     0     0       0
least                    4     1     5     5    15   221   167     3     3   177      26
a                      -99     0     0     0     0   222     0     0     0     0       0
modicum                  4     1     7     7    27   223   243     7     7   178       1
of                     -99     0     0     0     0   224     0     0     0     0       0
success.                 4     1     8     7    35   225   275     4     4   179      20
The                    -99     0     0     0     0   226     0     0     0     0       0
first                    4     1     5     5    49   227   178     1     1   180      87
first                    4     1     5     5    53   227   114     5     5   181      87
thing                    4     1     5     5    57   228   300     3     3   182      24
to                     -99     0     0     0     0   229     0     0     0     0       0
appreciate               4     1    10    10    66   230   207     3     3   183       3
is                       4     1     2     2    74   231   140     0     0   184     717
that                   -99     0     0     0     0   232     0     0     0     0       0
there                  -99     0     0     0     0   233     0     0     0     0       0
are                    -99     0     0     0     0   234     0     0     0     0       0
clear                  -99     0     0     0     0   235     0     0     0     0       0
limits                   4     2     6     6    21   236   209     0     0   185       3
to                       4     2     2     2    28   237   264     0     0   186    1597
what                   -99     0     0     0     0   238     0     0     0     0       0
outsiders                4     2     9     9    36   239   191     0     0   187       1
outsiders                4     2     9     9    41   239   201     5     5   188       1
can                    -99     0     0     0     0   240     0     0     0     0       0
achieve.                 4     2     8     7    51   241   189     1     1   189       7
achieve.                 4     2     8     7    55   241    89     5     5   190       7
Consider                 4     2     8     8    63   242    88     4     4   191       7
the                      4     2     3     3    71   243   213     3     3   193    3511
money                  -99     0     0     0     0   244     0     0     0     0       0
now                    -99     0     0     0     0   245     0     0     0     0       0
pledged:               -99     0     0     0     0   246     0     0     0     0       0
it                       4     3     2     2    13   247   122     0     0   194     544
is                     -99     0     0     0     0   248     0     0     0     0       0
