WORD                  TEXT  LINE  OLEN  WLEN  XPOS  WNUM  FDUR  OBLP  WDLP  LAUN    TXFR                                            
Warner.                  4     1     7     6    12   204   176     1     1    -5       3
Warner.                  4     1     7     6    18   204   213     7     7    -6       3
the                      4     1     3     3    26   207   210     0     0    -8    3511
finest                   4     1     6     6    34   208   178     4     4    -8       1
actors                   4     1     6     6    41   209   231     4     4    -7       3
generation,              4     1    11    10    52   212   177     1     1   -11      10
generation,              4     1    11    10    57   212    91     6     6    -5      10
returned                 4     1     8     8    71   214   217     5     5   -14       7
last                     4     2     4     4    15   219   134     2     2   -99      73
week                     4     2     4     4    21   220   171     3     3    -6      42
an                       4     2     2     2    29   222   162     0     0    -8     195
absence                  4     2     7     7    37   223    92     5     5    -8       2
*Blink                   4   -99     7     7   -99   -99   107   -99   -99   -99     -99
three                    4     2     5     5    47   225   269     4     4   -99      28
decades                  4     2     7     7    52   226   169     3     3    -5       6
induced                  4     2     7     7    63   227   200     6     6   -11       2
stage                    4     2     5     5    70   229   114     2     2    -7       5
last                     4     2     4     4    15   219   220     2     2    55      73
West                     4     2     4     4     8   217   223     4     4     7       8
End                      4     2     3     3    12   218   178     3     3    -4      32
last                     4     2     4     4    16   219   170     3     3    -4      73
End                      4     2     3     3    12   218   147     3     3     4      32
last                     4     2     4     4    13   219    89     0     0    -1      73
End                      4     2     3     3    12   218    71     3     3     1      32
week                     4     2     4     4    22   220   178     4     4   -10      42
an                       4     2     2     2    30   222   196     1     1    -8     195
absence                  4     2     7     7    37   223   183     5     5    -7       2
three                    4     2     5     5    45   225   176     2     2    -8      28
decades                  4     2     7     7    52   226   141     3     3    -7       6
induced                  4     2     7     7    64   227    93     7     7   -12       2
downside                 4     5     8     8    73   267   145     3     3   -99       1
stage                    4     2     5     5    73   229   164     5     5   -99       5
His                      4     3     3     3    10   231   198     2     2   -99     161
to                       4     3     2     2    23   234   335     1     1   -13    1597
short-lived;             4     3    12    11    37   236   274     9     9   -14     -99
short-lived;             4     3    12    11    38   236    67    10    10    -1     -99
return                   4     3     6     6    16   232   145     4     4    22      10
return                   4     3     6     6    12   232   156     0     0     4      10
short-lived;             4     3    12    11    39   236   454    11    11   -27     -99
a                        4     3     1     1    47   238   232     0     0    -8    1434
of                       4     3     2     2    57   240   189     0     0   -10    1757
terrible                 4     3     8     8    67   241   228     7     7   -10       6
reviews,                 4     3     8     7    72   242    74     3     3    -5       2
*Off-screen              4   -99     8     7   -99   -99   279   -99   -99   -99     -99
*Off-screen              5   -99     8     7   -99   -99    59   -99   -99   -99     -99
of                       5     1     2     2     2   268   143     2     2   -99    1757
good                     5     1     4     4    15   271   186     2     2   -13      52
news.                    5     1     5     4    23   272    82     5     5    -8      13
always                   5     1     6     6    32   275   151     1     1    -9      26
always                   5     1     6     6    35   275    53     4     4    -3      26
said                     5     1     4     4    44   277   153     1     1    -9      53
said                     5     1     4     4    47   277    69     4     4    -3      53
no                       5     1     2     2    55   279   172     2     2    -8     117
lost                     5     1     4     4    60   281    64     0     0    -5      11
lost                     5     1     4     4    63   281   106     3     3    -3      11
money                    5     1     5     5    68   282    75     3     3    -5      37
lowest                   5     2     6     6    21   285   202     1     1   -99       1
lowest                   5     2     6     6    24   285   128     4     4    -3       1
common                   5     2     6     6    31   286   237     4     4    -7       6
denominator              5     2    11    11    38   287   181     4     4    -7       1
public's                 5     2     8     8    53   290    98     0     0   -15     -99
appetite.                5     2     9     8    65   291   130     3     3   -12       1
appetite.                5     2     9     8    70   291    54     8     8    -5       1
is                       5     2     2     2    77   293   110     0     0    -7     717
*Off-screen              5   -99     2     2   -99   -99    92   -99   -99   -99     -99
still                    5     3     5     5    14   296   228     5     5   -99      52
true,                    5     3     5     4    17   297   179     2     2    -3      13
after                    5     3     5     5    28   299   213     3     3   -11      62
years                    5     3     5     5    34   300   162     3     3    -6     104
which                    5     3     5     5    44   302   205     4     4   -10     152
West                     5     3     4     4    53   304   195     3     3    -9       8
dominated                5     3     9     9    64   307   197     1     1   -11       3
dominated                5     3     9     9    69   307    88     6     6    -5       3
by                       5     3     2     2    75   308    82     2     2    -6     252
low-brow                 5     4     8     8    13   311   227     1     1   -99       1
low-brow                 5     4     8     8    17   311   177     5     5    -4       1
revues,                  5     4     7     6    24   312   181     3     3    -7       1
London                   5     4     6     6    32   313   114     3     3    -8      27
*Off-screen              5   -99     6     6   -99   -99    87   -99   -99   -99     -99
is                       5     4     2     2    36   314   148     0     0   -99     717
enjoying                 5     4     8     8    43   315   187     4     4    -7       4
