WORD                  TEXT  LINE  OLEN  WLEN  XPOS  WNUM  FDUR  OBLP  WDLP  LAUN    TXFR                                            
another's                2     5     9     9    40   121   102     0     0    -8     -99
cure                     2     5     4     4    37   120    60     2     2     3       1
another's                2     5     9     9    44   121    92     4     4    -7     -99
another's                2     5     9     9    45   121    80     5     5    -1     -99
cure                     2     5     4     4    36   120   176     1     1     9       1
another's                2     5     9     9    48   121   138     8     8   -12     -99
disease.                 2     5     8     7    53   122    99     3     3    -5       5
the                      2     5     3     3    64   124   198     1     1   -11    3511
the                      2     5     3     3    63   124   184     0     0     1    3511
parents'                 2     5     8     7    72   125   125     5     5    -9      21
view                     2     5     4     4    76   126   143     0     0    -4      10
view                     2     5     4     4    78   126   153     2     2    -2      10
view                     2     5     4     4    80   126   385     4     4    -2      10
compelling.              3     1    11    10    18   130   157     4     4     0       2
simple                   3     1     6     6     4   128   269     1     1    14       6
compelling.              3     1    11    10    24   130   105    10    10   -20       2
The                      3     1     3     3    27   131    99     1     1    -3    3511
compelling.              3     1    11    10    24   130   346    10    10     3       2
The                      3     1     3     3    27   131   127     1     1    -3    3511
compelling.              3     1    11    10    14   130   194     0     0    13       2
simple                   3     1     6     6     8   128   130     5     5     6       6
simple                   3     1     6     6     4   128   185     1     1     4       6
IVF                      3     1     3     3    33   132    58     3     3   -29       1
treatment                3     1     9     9    39   133   243     5     5    -6       6
treatment                3     1     9     9    38   133   152     4     4     1       6
treatment                3     1     9     9    43   133   199     9     9    -5       6
treatment                3     1     9     9    34   133    81     0     0     9       6
IVF                      3     1     3     3    30   132    71     0     0     4       1
treatment                3     1     9     9    36   133   209     2     2    -6       6
treatment                3     1     9     9    38   133   274     4     4    -2       6
treatment                3     1     9     9    42   133   173     8     8    -4       6
treatment                3     1     9     9    34   133    77     0     0     8       6
*Blink                   3   -99     9     9   -99   -99    74   -99   -99   -99     -99
is                       3     1     2     2    44   134   151     0     0   -99     717
available                3     1     9     9    53   135    53     6     6    -9      12
available                3     1     9     9    54   135    93     7     7    -1      12
treatment                3     1     9     9    41   133   188     7     7    13       6
available                3     1     9     9    51   135   260     4     4   -10      12
treatment                3     1     9     9    36   133   185     2     2    15       6
treatment                3     1     9     9    37   133   221     3     3    -1       6
available                3     1     9     9    51   135   214     4     4   -14      12
available                3     1     9     9    55   135   136     8     8    -4      12
produce                  3     1     7     7    69   138   241     4     4   -14       9
help                     3     1     4     4    62   137   157     2     2     7      21
baby                     3     1     4     4    77   140   226     2     2   -15       5
*Off-screen              3   -99     4     4   -99   -99   196   -99   -99   -99     -99
tissue                   3     2     6     6    12   142   126     6     6   -99       1
his                      3     2     3     3    24   145    82     0     0   -12     161
or                       3     2     2     2    28   146   203     0     0    -4     194
elder                    3     2     5     5    35   148   173     0     0    -7       1
elder                    3     2     5     5    37   148   146     2     2    -2       1
brother's                3     2     9     9    45   149    65     4     4    -8       2
brother's                3     2     9     9    46   149   184     5     5    -1       2
brother's                3     2     9     9    43   149   214     2     2     3       2
marrow.                  3     2     7     6    57   151   170     1     1   -14       2
marrow.                  3     2     7     6    63   151   301     7     7    -6       2
require,                 3     2     8     7    75   153   179     6     6   -12       1
require,                 3     2     8     7    73   153   184     4     4     2       1
as                       3     2     2     2    80   154    52     2     2    -7     422
require,                 3     2     8     7    76   153   212     7     7     4       1
*Off-screen              3   -99     8     7   -99   -99   349   -99   -99   -99     -99
Hashmi                   3     3     6     6     7   156   197     3     3   -99       3
Hashmi                   3     3     6     6     4   156    99     0     0     3       3
'a                       3     3     2     1    22   159   126     2     1   -18    1434
hand'                    3     3     5     4    34   161   108     3     3   -12      15
from                     3     3     4     4    39   162   262     2     2    -5     248
hand'                    3     3     5     4    31   161   150     0     0     8      15
HFEA.                    3     3     5     4    49   164   201     3     3   -18       6
the                      3     3     3     3    44   163    69     2     2     5    3511
programmes               3     5    10    10    51   187    54     7     7   -99      10
misplaced                3     5     9     9    63   189   104     3     3   -12       1
Screening                3     3     9     9    64   165   300     8     8   -99       3
*Off-screen              3   -99     9     9   -99   -99   182   -99   -99   -99     -99
genetic                  3     3     7     7    72   167    75     2     2   -99       4
*Blink                   3   -99     7     7   -99   -99    54   -99   -99   -99     -99
has                      3     4     3     3    13   169    73     3     3   -99     239
disorders                3     4     9     9     7   168   316     7     7     6       2
permissible              3     4    11    11    22   171    92     3     3   -15       1
